Ticker,Company,Index Fund,Currency,Currency_Name,Last Update
DFS,Discover Financial,US S&P 500,USD,US Dollar,
DISH,Dish Network,US S&P 500,USD,US Dollar,
DIS,Disney,US S&P 500,USD,US Dollar,
DG,Dollar General,US S&P 500,USD,US Dollar,
DLTR,Dollar Tree,US S&P 500,USD,US Dollar,
D,Dominion Energy,US S&P 500,USD,US Dollar,
DPZ,Domino's,US S&P 500,USD,US Dollar,
DOV,Dover Corporation,US S&P 500,USD,US Dollar,
DOW,Dow Inc.,US S&P 500,USD,US Dollar,
DTE,DTE Energy,US S&P 500,USD,US Dollar,
DUK,Duke Energy,US S&P 500,USD,US Dollar,
DRE,Duke Realty,US S&P 500,USD,US Dollar,
DD,DuPont,US S&P 500,USD,US Dollar,
DXC,DXC Technology,US S&P 500,USD,US Dollar,
EMN,Eastman Chemical Company,US S&P 500,USD,US Dollar,
ETN,Eaton Corporation,US S&P 500,USD,US Dollar,
EBAY,eBay,US S&P 500,USD,US Dollar,
ECL,Ecolab,US S&P 500,USD,US Dollar,
EIX,Edison International,US S&P 500,USD,US Dollar,
EW,Edwards Lifesciences,US S&P 500,USD,US Dollar,
EA,Electronic Arts,US S&P 500,USD,US Dollar,
ELV,Elevance Health,US S&P 500,USD,US Dollar,
LLY,Eli Lilly and Company,US S&P 500,USD,US Dollar,
EMR,Emerson Electric,US S&P 500,USD,US Dollar,
ENPH,Enphase,US S&P 500,USD,US Dollar,
ETR,Entergy,US S&P 500,USD,US Dollar,
EOG,EOG Resources,US S&P 500,USD,US Dollar,
EPAM,EPAM Systems,US S&P 500,USD,US Dollar,
EFX,Equifax,US S&P 500,USD,US Dollar,
EQIX,Equinix,US S&P 500,USD,US Dollar,
EQR,Equity Residential,US S&P 500,USD,US Dollar,
ESS,Essex Property Trust,US S&P 500,USD,US Dollar,
EL,The Estée Lauder Companies,US S&P 500,USD,US Dollar,
ETSY,Etsy,US S&P 500,USD,US Dollar,
RE,Everest Re,US S&P 500,USD,US Dollar,
EVRG,Evergy,US S&P 500,USD,US Dollar,
ES,Eversource,US S&P 500,USD,US Dollar,
EXC,Exelon,US S&P 500,USD,US Dollar,
EXPE,Expedia Group,US S&P 500,USD,US Dollar,
EXPD,Expeditors International,US S&P 500,USD,US Dollar,
EXR,Extra Space Storage,US S&P 500,USD,US Dollar,
XOM,ExxonMobil,US S&P 500,USD,US Dollar,
FFIV,"F5, Inc.",US S&P 500,USD,US Dollar,
FDS,FactSet,US S&P 500,USD,US Dollar,
FAST,Fastenal,US S&P 500,USD,US Dollar,
FRT,Federal Realty,US S&P 500,USD,US Dollar,
FDX,FedEx,US S&P 500,USD,US Dollar,
FITB,Fifth Third Bank,US S&P 500,USD,US Dollar,
FRC,First Republic Bank,US S&P 500,USD,US Dollar,
FE,FirstEnergy,US S&P 500,USD,US Dollar,
FIS,FIS,US S&P 500,USD,US Dollar,
FISV,Fiserv,US S&P 500,USD,US Dollar,
FLT,Fleetcor,US S&P 500,USD,US Dollar,
FMC,FMC Corporation,US S&P 500,USD,US Dollar,
F,Ford Motor Company,US S&P 500,USD,US Dollar,
FTNT,Fortinet,US S&P 500,USD,US Dollar,
FTV,Fortive,US S&P 500,USD,US Dollar,
FBHS,Fortune Brands Home & Security,US S&P 500,USD,US Dollar,
FOXA,Fox Corporation (Class A),US S&P 500,USD,US Dollar,
FOX,Fox Corporation (Class B),US S&P 500,USD,US Dollar,
BEN,Franklin Templeton,US S&P 500,USD,US Dollar,
FCX,Freeport-McMoRan,US S&P 500,USD,US Dollar,
GRMN,Garmin,US S&P 500,USD,US Dollar,
IT,Gartner,US S&P 500,USD,US Dollar,
GNRC,Generac,US S&P 500,USD,US Dollar,
GD,General Dynamics,US S&P 500,USD,US Dollar,
GE,General Electric,US S&P 500,USD,US Dollar,
GIS,General Mills,US S&P 500,USD,US Dollar,
GM,General Motors,US S&P 500,USD,US Dollar,
GPC,Genuine Parts Company,US S&P 500,USD,US Dollar,
GILD,Gilead Sciences,US S&P 500,USD,US Dollar,
GL,Globe Life,US S&P 500,USD,US Dollar,
GPN,Global Payments,US S&P 500,USD,US Dollar,
GS,Goldman Sachs,US S&P 500,USD,US Dollar,
HAL,Halliburton,US S&P 500,USD,US Dollar,
HIG,Hartford (The),US S&P 500,USD,US Dollar,
HAS,Hasbro,US S&P 500,USD,US Dollar,
HCA,HCA Healthcare,US S&P 500,USD,US Dollar,
PEAK,Healthpeak,US S&P 500,USD,US Dollar,
HSIC,Henry Schein,US S&P 500,USD,US Dollar,
HSY,Hershey's,US S&P 500,USD,US Dollar,
HES,Hess Corporation,US S&P 500,USD,US Dollar,
HPE,Hewlett Packard Enterprise,US S&P 500,USD,US Dollar,
HLT,Hilton Worldwide,US S&P 500,USD,US Dollar,
HOLX,Hologic,US S&P 500,USD,US Dollar,
HD,The Home Depot,US S&P 500,USD,US Dollar,
HON,Honeywell,US S&P 500,USD,US Dollar,
HRL,Hormel Foods,US S&P 500,USD,US Dollar,
HST,Host Hotels & Resorts,US S&P 500,USD,US Dollar,
HWM,Howmet Aerospace,US S&P 500,USD,US Dollar,
HPQ,HP Inc.,US S&P 500,USD,US Dollar,
HUM,Humana,US S&P 500,USD,US Dollar,
HBAN,Huntington Bancshares,US S&P 500,USD,US Dollar,
HII,Huntington Ingalls Industries,US S&P 500,USD,US Dollar,
IBM,IBM,US S&P 500,USD,US Dollar,
IEX,IDEX Corporation,US S&P 500,USD,US Dollar,
IDXX,Idexx Laboratories,US S&P 500,USD,US Dollar,
ITW,Illinois Tool Works,US S&P 500,USD,US Dollar,
ILMN,Illumina,US S&P 500,USD,US Dollar,
INCY,Incyte,US S&P 500,USD,US Dollar,
IR,Ingersoll Rand,US S&P 500,USD,US Dollar,
INTC,Intel,US S&P 500,USD,US Dollar,
ICE,Intercontinental Exchange,US S&P 500,USD,US Dollar,
IP,International Paper,US S&P 500,USD,US Dollar,
IPG,The Interpublic Group of Companies,US S&P 500,USD,US Dollar,
IFF,International Flavors & Fragrances,US S&P 500,USD,US Dollar,
INTU,Intuit,US S&P 500,USD,US Dollar,
ISRG,Intuitive Surgical,US S&P 500,USD,US Dollar,
IVZ,Invesco,US S&P 500,USD,US Dollar,
INVH,Invitation Homes,US S&P 500,USD,US Dollar,
IQV,IQVIA,US S&P 500,USD,US Dollar,
IRM,Iron Mountain,US S&P 500,USD,US Dollar,
JBHT,J.B. Hunt,US S&P 500,USD,US Dollar,
JKHY,Jack Henry & Associates,US S&P 500,USD,US Dollar,
J,Jacobs Solutions,US S&P 500,USD,US Dollar,
JNJ,Johnson & Johnson,US S&P 500,USD,US Dollar,
JCI,Johnson Controls,US S&P 500,USD,US Dollar,
JPM,JPMorgan Chase,US S&P 500,USD,US Dollar,
JNPR,Juniper Networks,US S&P 500,USD,US Dollar,
K,Kellogg's,US S&P 500,USD,US Dollar,
KDP,Keurig Dr Pepper,US S&P 500,USD,US Dollar,
KEY,KeyCorp,US S&P 500,USD,US Dollar,
KEYS,Keysight,US S&P 500,USD,US Dollar,
KMB,Kimberly-Clark,US S&P 500,USD,US Dollar,
KIM,Kimco Realty,US S&P 500,USD,US Dollar,
KMI,Kinder Morgan,US S&P 500,USD,US Dollar,
KLAC,KLA Corporation,US S&P 500,USD,US Dollar,
KHC,Kraft Heinz,US S&P 500,USD,US Dollar,
KR,Kroger,US S&P 500,USD,US Dollar,
LHX,L3Harris,US S&P 500,USD,US Dollar,
LH,LabCorp,US S&P 500,USD,US Dollar,
LRCX,Lam Research,US S&P 500,USD,US Dollar,
LW,Lamb Weston,US S&P 500,USD,US Dollar,
LVS,Las Vegas Sands,US S&P 500,USD,US Dollar,
LDOS,Leidos,US S&P 500,USD,US Dollar,
LEN,Lennar,US S&P 500,USD,US Dollar,
LNC,Lincoln Financial,US S&P 500,USD,US Dollar,
LIN,Linde plc,US S&P 500,USD,US Dollar,
LYV,Live Nation Entertainment,US S&P 500,USD,US Dollar,
LKQ,LKQ Corporation,US S&P 500,USD,US Dollar,
LMT,Lockheed Martin,US S&P 500,USD,US Dollar,
L,Loews Corporation,US S&P 500,USD,US Dollar,
LOW,Lowe's,US S&P 500,USD,US Dollar,
LUMN,Lumen Technologies,US S&P 500,USD,US Dollar,
LYB,LyondellBasell,US S&P 500,USD,US Dollar,
MTB,M&T Bank,US S&P 500,USD,US Dollar,
MRO,Marathon Oil,US S&P 500,USD,US Dollar,
MPC,Marathon Petroleum,US S&P 500,USD,US Dollar,
MKTX,MarketAxess,US S&P 500,USD,US Dollar,
MAR,Marriott International,US S&P 500,USD,US Dollar,
MMC,Marsh McLennan,US S&P 500,USD,US Dollar,
MLM,Martin Marietta Materials,US S&P 500,USD,US Dollar,
MAS,Masco,US S&P 500,USD,US Dollar,
MA,Mastercard,US S&P 500,USD,US Dollar,
MTCH,Match Group,US S&P 500,USD,US Dollar,
MKC,McCormick & Company,US S&P 500,USD,US Dollar,
MCD,McDonald's,US S&P 500,USD,US Dollar,
MCK,McKesson,US S&P 500,USD,US Dollar,
MDT,Medtronic,US S&P 500,USD,US Dollar,
MRK,Merck & Co.,US S&P 500,USD,US Dollar,
META,Meta Platforms,US S&P 500,USD,US Dollar,
MET,MetLife,US S&P 500,USD,US Dollar,
MTD,Mettler Toledo,US S&P 500,USD,US Dollar,
MGM,MGM Resorts,US S&P 500,USD,US Dollar,
MCHP,Microchip Technology,US S&P 500,USD,US Dollar,
MU,Micron Technology,US S&P 500,USD,US Dollar,
MSFT,Microsoft,US S&P 500,USD,US Dollar,
MAA,Mid-America Apartment Communities,US S&P 500,USD,US Dollar,
MRNA,Moderna,US S&P 500,USD,US Dollar,
MHK,Mohawk Industries,US S&P 500,USD,US Dollar,
MOH,Molina Healthcare,US S&P 500,USD,US Dollar,
TAP,Molson Coors Beverage Company,US S&P 500,USD,US Dollar,
MDLZ,Mondelez International,US S&P 500,USD,US Dollar,
MPWR,Monolithic Power Systems,US S&P 500,USD,US Dollar,
MNST,Monster Beverage,US S&P 500,USD,US Dollar,
MCO,Moody's Corporation,US S&P 500,USD,US Dollar,
MS,Morgan Stanley,US S&P 500,USD,US Dollar,
MOS,The Mosaic Company,US S&P 500,USD,US Dollar,
MSI,Motorola Solutions,US S&P 500,USD,US Dollar,
MSCI,MSCI,US S&P 500,USD,US Dollar,
NDAQ,"Nasdaq, Inc.",US S&P 500,USD,US Dollar,
NTAP,NetApp,US S&P 500,USD,US Dollar,
NFLX,Netflix,US S&P 500,USD,US Dollar,
NWL,Newell Brands,US S&P 500,USD,US Dollar,
NEM,Newmont,US S&P 500,USD,US Dollar,
NWSA,News Corp (Class A),US S&P 500,USD,US Dollar,
NWS,News Corp (Class B),US S&P 500,USD,US Dollar,
NEE,NextEra Energy,US S&P 500,USD,US Dollar,
NLSN,Nielsen Holdings,US S&P 500,USD,US Dollar,
NKE,"Nike, Inc.",US S&P 500,USD,US Dollar,
NI,NiSource,US S&P 500,USD,US Dollar,
NDSN,Nordson Corporation,US S&P 500,USD,US Dollar,
NSC,Norfolk Southern Railway,US S&P 500,USD,US Dollar,
NTRS,Northern Trust,US S&P 500,USD,US Dollar,
NOC,Northrop Grumman,US S&P 500,USD,US Dollar,
NLOK,NortonLifeLock,US S&P 500,USD,US Dollar,
NCLH,Norwegian Cruise Line Holdings,US S&P 500,USD,US Dollar,
NRG,NRG Energy,US S&P 500,USD,US Dollar,
NUE,Nucor,US S&P 500,USD,US Dollar,
NVDA,Nvidia,US S&P 500,USD,US Dollar,
NVR,"NVR, Inc.",US S&P 500,USD,US Dollar,
NXPI,NXP Semiconductors,US S&P 500,USD,US Dollar,
ORLY,O'Reilly Auto Parts,US S&P 500,USD,US Dollar,
OXY,Occidental Petroleum,US S&P 500,USD,US Dollar,
ODFL,Old Dominion,US S&P 500,USD,US Dollar,
OMC,Omnicom Group,US S&P 500,USD,US Dollar,
ON,ON Semiconductor,US S&P 500,USD,US Dollar,
OKE,Oneok,US S&P 500,USD,US Dollar,
ORCL,Oracle Corporation,US S&P 500,USD,US Dollar,
OGN,Organon & Co.,US S&P 500,USD,US Dollar,
OTIS,Otis Worldwide,US S&P 500,USD,US Dollar,
PCAR,Paccar,US S&P 500,USD,US Dollar,
PKG,Packaging Corporation of America,US S&P 500,USD,US Dollar,
PARA,Paramount Global,US S&P 500,USD,US Dollar,
PH,Parker Hannifin,US S&P 500,USD,US Dollar,
PAYX,Paychex,US S&P 500,USD,US Dollar,
PAYC,Paycom,US S&P 500,USD,US Dollar,
PYPL,PayPal,US S&P 500,USD,US Dollar,
PNR,Pentair,US S&P 500,USD,US Dollar,
PEP,PepsiCo,US S&P 500,USD,US Dollar,
PKI,PerkinElmer,US S&P 500,USD,US Dollar,
PFE,Pfizer,US S&P 500,USD,US Dollar,
PM,Philip Morris International,US S&P 500,USD,US Dollar,
PSX,Phillips 66,US S&P 500,USD,US Dollar,
PNW,Pinnacle West,US S&P 500,USD,US Dollar,
PXD,Pioneer Natural Resources,US S&P 500,USD,US Dollar,
PNC,PNC Financial Services,US S&P 500,USD,US Dollar,
POOL,Pool Corporation,US S&P 500,USD,US Dollar,
PPG,PPG Industries,US S&P 500,USD,US Dollar,
PPL,PPL Corporation,US S&P 500,USD,US Dollar,
PFG,Principal Financial Group,US S&P 500,USD,US Dollar,
PG,Procter & Gamble,US S&P 500,USD,US Dollar,
PGR,Progressive Corporation,US S&P 500,USD,US Dollar,
PLD,Prologis,US S&P 500,USD,US Dollar,
PRU,Prudential Financial,US S&P 500,USD,US Dollar,
PEG,Public Service Enterprise Group,US S&P 500,USD,US Dollar,
PTC,PTC,US S&P 500,USD,US Dollar,
PSA,Public Storage,US S&P 500,USD,US Dollar,
PHM,PulteGroup,US S&P 500,USD,US Dollar,
QRVO,Qorvo,US S&P 500,USD,US Dollar,
PWR,Quanta Services,US S&P 500,USD,US Dollar,
QCOM,Qualcomm,US S&P 500,USD,US Dollar,
DGX,Quest Diagnostics,US S&P 500,USD,US Dollar,
RL,Ralph Lauren Corporation,US S&P 500,USD,US Dollar,
RJF,Raymond James,US S&P 500,USD,US Dollar,
RTX,Raytheon Technologies,US S&P 500,USD,US Dollar,
O,Realty Income,US S&P 500,USD,US Dollar,
REG,Regency Centers,US S&P 500,USD,US Dollar,
REGN,Regeneron,US S&P 500,USD,US Dollar,
RF,Regions Financial Corporation,US S&P 500,USD,US Dollar,
RSG,Republic Services,US S&P 500,USD,US Dollar,
RMD,ResMed,US S&P 500,USD,US Dollar,
RHI,Robert Half,US S&P 500,USD,US Dollar,
ROK,Rockwell Automation,US S&P 500,USD,US Dollar,
ROL,"Rollins, Inc.",US S&P 500,USD,US Dollar,
ROP,Roper Technologies,US S&P 500,USD,US Dollar,
ROST,Ross Stores,US S&P 500,USD,US Dollar,
RCL,Royal Caribbean Group,US S&P 500,USD,US Dollar,
SPGI,S&P Global,US S&P 500,USD,US Dollar,
CRM,Salesforce,US S&P 500,USD,US Dollar,
SBAC,SBA Communications,US S&P 500,USD,US Dollar,
SLB,Schlumberger,US S&P 500,USD,US Dollar,
STX,Seagate Technology,US S&P 500,USD,US Dollar,
SEE,Sealed Air,US S&P 500,USD,US Dollar,
SRE,Sempra Energy,US S&P 500,USD,US Dollar,
NOW,ServiceNow,US S&P 500,USD,US Dollar,
SHW,Sherwin-Williams,US S&P 500,USD,US Dollar,
SBNY,Signature Bank,US S&P 500,USD,US Dollar,
SPG,Simon Property Group,US S&P 500,USD,US Dollar,
SWKS,Skyworks Solutions,US S&P 500,USD,US Dollar,
SJM,The J.M. Smucker Company,US S&P 500,USD,US Dollar,
SNA,Snap-on,US S&P 500,USD,US Dollar,
SEDG,SolarEdge,US S&P 500,USD,US Dollar,
SO,Southern Company,US S&P 500,USD,US Dollar,
LUV,Southwest Airlines,US S&P 500,USD,US Dollar,
SWK,Stanley Black & Decker,US S&P 500,USD,US Dollar,
SBUX,Starbucks,US S&P 500,USD,US Dollar,
STT,State Street Corporation,US S&P 500,USD,US Dollar,
STE,Steris,US S&P 500,USD,US Dollar,
SYK,Stryker Corporation,US S&P 500,USD,US Dollar,
SIVB,SVB Financial,US S&P 500,USD,US Dollar,
SYF,Synchrony Financial,US S&P 500,USD,US Dollar,
SNPS,Synopsys,US S&P 500,USD,US Dollar,
SYY,Sysco,US S&P 500,USD,US Dollar,
TMUS,T-Mobile US,US S&P 500,USD,US Dollar,
TROW,T. Rowe Price,US S&P 500,USD,US Dollar,
TTWO,Take-Two Interactive,US S&P 500,USD,US Dollar,
TPR,"Tapestry, Inc.",US S&P 500,USD,US Dollar,
TGT,Target Corporation,US S&P 500,USD,US Dollar,
TEL,TE Connectivity,US S&P 500,USD,US Dollar,
TDY,Teledyne Technologies,US S&P 500,USD,US Dollar,
TFX,Teleflex,US S&P 500,USD,US Dollar,
TER,Teradyne,US S&P 500,USD,US Dollar,
TSLA,"Tesla, Inc.",US S&P 500,USD,US Dollar,
TXN,Texas Instruments,US S&P 500,USD,US Dollar,
TXT,Textron,US S&P 500,USD,US Dollar,
TMO,Thermo Fisher Scientific,US S&P 500,USD,US Dollar,
TJX,TJX Companies,US S&P 500,USD,US Dollar,
TSCO,Tractor Supply,US S&P 500,USD,US Dollar,
TT,Trane Technologies,US S&P 500,USD,US Dollar,
TDG,TransDigm Group,US S&P 500,USD,US Dollar,
TRV,The Travelers Companies,US S&P 500,USD,US Dollar,
TRMB,Trimble Inc.,US S&P 500,USD,US Dollar,
TFC,Truist,US S&P 500,USD,US Dollar,
TWTR,Twitter Inc.,US S&P 500,USD,US Dollar,
TYL,Tyler Technologies,US S&P 500,USD,US Dollar,
TSN,Tyson Foods,US S&P 500,USD,US Dollar,
USB,U.S. Bank,US S&P 500,USD,US Dollar,
UDR,"UDR, Inc.",US S&P 500,USD,US Dollar,
ULTA,Ulta Beauty,US S&P 500,USD,US Dollar,
UNP,Union Pacific Corporation,US S&P 500,USD,US Dollar,
UAL,United Airlines Holdings,US S&P 500,USD,US Dollar,
UPS,United Parcel Service,US S&P 500,USD,US Dollar,
URI,United Rentals,US S&P 500,USD,US Dollar,
UNH,UnitedHealth Group,US S&P 500,USD,US Dollar,
UHS,Universal Health Services,US S&P 500,USD,US Dollar,
VLO,Valero Energy,US S&P 500,USD,US Dollar,
VTR,Ventas,US S&P 500,USD,US Dollar,
VRSN,Verisign,US S&P 500,USD,US Dollar,
VRSK,Verisk,US S&P 500,USD,US Dollar,
VZ,Verizon,US S&P 500,USD,US Dollar,
VRTX,Vertex Pharmaceuticals,US S&P 500,USD,US Dollar,
VFC,VF Corporation,US S&P 500,USD,US Dollar,
VTRS,Viatris,US S&P 500,USD,US Dollar,
VICI,Vici Properties,US S&P 500,USD,US Dollar,
V,Visa Inc.,US S&P 500,USD,US Dollar,
VNO,Vornado Realty Trust,US S&P 500,USD,US Dollar,
VMC,Vulcan Materials Company,US S&P 500,USD,US Dollar,
WAB,Wabtec,US S&P 500,USD,US Dollar,
WBA,Walgreens Boots Alliance,US S&P 500,USD,US Dollar,
WMT,Walmart,US S&P 500,USD,US Dollar,
WBD,Warner Bros. Discovery,US S&P 500,USD,US Dollar,
WM,Waste Management,US S&P 500,USD,US Dollar,
WAT,Waters Corporation,US S&P 500,USD,US Dollar,
